local,longitud,latitud,denominacion,tipo
VMR,-63.22654,-32.32006,VILLA MARIA/AEROPUERTO REGIONAL,Aeródromo
VMT,-65.32472222,-33.84472222,VILLA MERCEDES/LAS TOTORITAS,Aeródromo
VNA,-57.36722222,-35.39944444,VERÓNICA,Aeródromo
VNO,-61.95515,-33.67977,VENADO TUERTO,Aeródromo
VNR,-63.28930556,-32.43816667,VILLA NUEVA/RAIG SA,Aeródromo
VNS,-63.30222222,-32.42694444,VILLA NUEVA/SUAREZ AVIACIÓN,Aeródromo
VPO,-59.32612,-28.49598,VILLA OCAMPO,Aeródromo
VRG,-67.07805556,-39.07472222,VILLA REGINA,Aeródromo
VRU,-64.48888889,-32.18416667,VILLA RUMIPAL/PRIMER TENIENTE MARIO NIVOLI,Aeródromo
VTE,-54.48789,-26.95314,SAN VICENTE,Aeródromo
VTO,-62.06369,-33.69132,VENADO TUERTO/LA SIESTA,Aeródromo
VTS,-61.97609,-33.77872,VENADO TUERTO/SAVESA,Aeródromo
YOP,-60.27611111,-38.34777778,TRES ARROYOS/PETRAZZINI,Aeródromo
YOS,-60.3275,-38.38555556,TRES ARROYOS,Aeródromo
YPY,-56.79573,-29.35877,YAPEYÚ,Aeródromo
ZAP,-70.11346389,-38.97588611,ZAPALA,Aeródromo
ZLM,-62.67138889,-32.48972222,BELL VILLE/LA ZULEMA,Aeródromo
ZUL,-59.8808,-36.83675,AZUL,Aeródromo
PDI,-57.291052,-35.354217,PUNTA INDIO,Aeródromo
